"NUM_OC","FECHA_CIERRE_TAREA","TIPO_SLA","ANS2","mes"
"2967121",2021-03-04 12:39:04,"SLA8","Cumple",2021-03-01
"2967445",2021-03-05 10:24:52,"SLA8","Cumple",2021-03-01
"2967471",2021-03-04 14:23:43,"SLA8","Cumple",2021-03-01
"2967568",2021-04-23 16:08:50,"SLA8","Cumple",2021-04-01
"2968159",2021-03-04 18:49:43,"SLA8","Cumple",2021-03-01
"2968176",2021-03-04 19:08:34,"SLA8","Cumple",2021-03-01
"2968189",2021-03-04 19:31:39,"SLA8","Cumple",2021-03-01
"2968267",2021-03-04 20:06:14,"SLA8","Cumple",2021-03-01
"2968291",2021-03-04 21:28:12,"SLA8","Cumple",2021-03-01
"2968294",2021-03-04 21:50:00,"SLA8","Cumple",2021-03-01
"2968514",2021-03-05 09:32:20,"SLA8","Cumple",2021-03-01
"2968724",2021-03-05 11:12:56,"SLA8","Cumple",2021-03-01
"2968727",2021-03-05 11:26:52,"SLA8","Cumple",2021-03-01
"2968729",2021-03-05 10:45:49,"SLA8","Cumple",2021-03-01
"2968872",2021-03-05 12:48:17,"SLA8","Cumple",2021-03-01
"2968889",2021-03-05 12:56:19,"SLA8","Cumple",2021-03-01
"2969148",2021-03-05 15:02:13,"SLA8","Cumple",2021-03-01
"2969219",2021-03-05 15:55:47,"SLA8","Cumple",2021-03-01
"2969265",2021-03-05 16:40:22,"SLA8","Cumple",2021-03-01
"2969510",2021-03-05 18:43:55,"SLA8","Cumple",2021-03-01
"2969518",2021-03-05 19:03:28,"SLA8","Cumple",2021-03-01
"2969550",2021-03-05 19:25:44,"SLA8","Cumple",2021-03-01
